Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Ghana,60.8625,180.0625,40.3125,1.19,77.24912203,60.0625,405.375,21.725,84.4375,4.345625,82.25,1.45625,834.3761008,7.65,7.575,0.525875,9.5125,59.8125,0.590103948,0.32573559,0.276066873,0.061780497,115,0.363159954,0.318451836,0.463593034,8,27670174,238533,42.8,7.9,71.5,11,11,0,1,1,75.58333333
Greece,81.21875,73.625,0.1875,8.25375,752.4419704,88.9375,24.875,58.68125,94.125,8.76125,96.625,0.1,8235.055665,0.8125,0.73125,0.8423125,15.9375,0.4375,0.118492058,0.644378665,0,0.063970494,89.8,0.484515368,0.766103226,0.642515155,9,10858018,131990,34.3,3.8,97.3,0.8,27.9,0,1,1,93.22916667
Guatemala,71.73125,131.1875,13.125,2.1275,334.027048,87.0625,0,40.44375,79.5625,6.469375,85.5625,0.375,2365.834474,1.3375,1.3375,0.5844375,9.8625,16.125,0.760063707,0.431168048,0.286479888,0.147833262,33.6,0.719227734,0.53968098,0.694323016,3,16176133,108889,55.9,3,71,3.8,4.1,0,1,0,84.0625
Guinea,56.0125,259.875,30.8125,0.155,15.89128295,57.9375,270.375,17.46875,57.25,4.04625,57.3125,1.50625,279.4647979,7.64375,7.625,0.36475,7.18125,48.375,0.486565611,0.146129463,0.296518773,0.192613875,141.6,0.228644589,0.211833329,0.387821738,8,12947000,245857,39.4,3.9,41,15.2,30,0,1,3,57.5
Haiti,60.45,153.9375,17,5.14375,36.12920018,62.875,61.875,39.275,59.625,6.084375,58.6875,1.40625,434.3601282,4.24375,4.25625,0.4620625,8.45,24.8125,0.123298303,0.172582839,0.534952922,0.228436575,139,0.231008653,0.294256114,0.374827229,3,11078033,27750,59.2,3.4,48.7,6.3,40.6,0,1,3,60.39583333
Honduras,72.99375,142,4.625,2.8525,192.1156353,95.0625,0,39.74375,95.375,7.925625,95.625,0.81875,1421.788083,2.4,2.3375,0.590125,10.8875,5.6875,0.547820403,0.350891952,0.265813599,0.13141833,86.2,0.501930656,0.580455649,0.644085764,3,8576532,112492,57,2.8,85.1,5.2,4.5,0,1,0,95.35416667
Hungary,73.825,147.0625,0.5625,10.71375,335.2959269,99,2.0625,56.93125,98.9375,7.570625,99,0.1,7450.132567,1.91875,1.9125,0.8043125,15.11875,0.875,0.318420862,0.643626509,0.106768864,0.054696214,80.2,0.519385331,0.645555382,0.764954147,1,9823000,93028,31.2,0.4,99.1,0.7,10.2027027,1,0,0,98.97916667
Iceland,82.44375,49.375,0,7,872.8072398,99,0,51.075,92.4375,8.299375,92.5,0.1,8551.501879,0.95625,0.9,0.8853125,18.15625,0,0.85363885,0.741152467,0.500103169,0.253927836,3.2,0.949172583,0.804333413,0.908036984,9,334300,103000,31.81621622,1.9,99,3.9,4.5,1,0,2,94.64583333
India,65.41875,146.5625,55,1.82125,33.24262109,27.75,831,14.79375,69.625,4.37375,69.9375,0.25625,837.9200509,14.6,15,0.5495,9.98125,66,0.63748536,0.390596351,0.266937511,0.160303993,126,0.316154444,0.437270397,0.357735109,7,1295210000,3287590,33.4,3.2,62.8,9.6,8.8,0,1,1,55.77083333
Indonesia,67.55625,166.5625,55,0.065,83.76831559,73.5625,831,19.95625,73.1875,2.784375,75.25,0.2,1669.116783,3.41875,3.94375,0.6414375,11.6125,66,0.64386836,0.492295601,0.638192065,0.023386833,84.4,0.504137112,0.491852011,0.68805045,6,258705000,1904569,34,5.35,92.8,7.7,6.6,0,1,0,74
